epoch,time,train/loss,metrics/accuracy_top1,metrics/accuracy_top5,val/loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,33.0174,3.71816,0.48967,0.80167,1.88534,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444,0.00997333,0.00332444
2,63.8847,1.86429,0.528,0.829,1.74329,0.0197262,0.00657539,0.0197262,0.00657539,0.0197262,0.00657539,0.0197262,0.00657539
3,96.7398,1.87442,0.39333,0.71433,2.50854,0.0292315,0.00974383,0.0292315,0.00974383,0.0292315,0.00974383,0.0292315,0.00974383
4,126.551,1.92863,0.53867,0.82767,1.73706,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875,0.0288862,0.00962875
5,159.951,1.62802,0.57133,0.85767,1.59904,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
6,193.125,1.40544,0.54067,0.83933,1.71326,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125,0.0281437,0.00938125
7,227.161,1.30145,0.533,0.83667,1.85368,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575,0.0277725,0.0092575
8,260.791,1.16823,0.55667,0.83933,1.85388,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375,0.0274012,0.00913375
9,298.108,1.06674,0.59833,0.869,1.59062,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
10,334.938,0.98772,0.60767,0.87733,1.58305,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625,0.0266587,0.00888625
11,371.191,0.9104,0.63667,0.89933,1.38517,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625,0.0262875,0.0087625
12,403.366,0.86687,0.635,0.886,1.51086,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875,0.0259163,0.00863875
13,431.602,0.79621,0.65,0.89833,1.42509,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
14,460.543,0.74624,0.65767,0.898,1.47583,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125,0.0251737,0.00839125
15,488.956,0.71981,0.646,0.89567,1.52291,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675,0.0248025,0.0082675
16,521.962,0.65581,0.66167,0.90067,1.45528,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375,0.0244312,0.00814375
17,561.032,0.63116,0.667,0.90367,1.44564,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802,0.02406,0.00802
18,596.674,0.60595,0.67133,0.90467,1.45878,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625,0.0236888,0.00789625
19,634.556,0.5806,0.66567,0.899,1.47103,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725,0.0233175,0.0077725
20,670.025,0.54834,0.67133,0.897,1.46525,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875,0.0229462,0.00764875
21,705.936,0.52117,0.681,0.90067,1.4338,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525,0.022575,0.007525
22,740.531,0.50949,0.678,0.90767,1.40277,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125,0.0222038,0.00740125
23,776.071,0.47831,0.676,0.90367,1.42871,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775,0.0218325,0.0072775
24,808.246,0.44144,0.68167,0.91133,1.43123,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375,0.0214612,0.00715375
25,841.728,0.43368,0.68467,0.90333,1.43884,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703,0.02109,0.00703
26,875.346,0.43495,0.684,0.90633,1.45959,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625,0.0207188,0.00690625
27,907.133,0.41418,0.68033,0.902,1.45089,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825,0.0203475,0.0067825
28,938.9,0.38311,0.689,0.91333,1.41844,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875,0.0199762,0.00665875
29,969.81,0.38137,0.68633,0.91033,1.41711,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535,0.019605,0.006535
30,1001.68,0.36593,0.69167,0.91033,1.41052,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125,0.0192337,0.00641125
31,1035.94,0.3702,0.694,0.91033,1.39421,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875,0.0188625,0.0062875
32,1069.49,0.33792,0.694,0.90867,1.4172,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375,0.0184913,0.00616375
