epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,24.7102,0.6508,2.53194,0.96114,0.99001,0.59583,0.84098,0.76354,0.39985,2.21933,0.83314,0.000299557,0.000299557,0.000299557
2,35.2903,0.47851,1.09861,0.87911,0.96629,0.95588,0.98035,0.93027,0.34883,0.68287,0.82661,0.000592615,0.000592615,0.000592615
3,46.0379,0.42495,0.92294,0.87696,0.95154,0.92987,0.96211,0.89742,0.3801,0.67797,0.83873,0.000875673,0.000875673,0.000875673
4,57.6638,0.39799,0.78562,0.87176,0.98381,0.97832,0.98515,0.95561,0.28023,0.46954,0.80771,0.000864004,0.000864004,0.000864004
5,68.4832,0.37808,0.67145,0.86054,0.98932,0.98708,0.98908,0.95539,0.29105,0.40657,0.80883,0.000849006,0.000849006,0.000849006
6,79.189,0.34615,0.58214,0.85203,0.99146,0.98403,0.99081,0.96391,0.27157,0.38141,0.80828,0.000834007,0.000834007,0.000834007
7,89.5128,0.33229,0.5118,0.84879,0.99157,0.98341,0.9874,0.95951,0.28023,0.37819,0.8093,0.000819009,0.000819009,0.000819009
8,100.104,0.31519,0.4574,0.84629,0.997,0.98648,0.98869,0.97561,0.2308,0.32992,0.79445,0.00080401,0.00080401,0.00080401
9,111.175,0.30209,0.42988,0.84126,0.9892,0.98916,0.98915,0.97664,0.22275,0.31182,0.78749,0.000789012,0.000789012,0.000789012
10,122.279,0.29528,0.39362,0.83391,0.99723,0.98535,0.98972,0.9798,0.22005,0.31163,0.78535,0.000774013,0.000774013,0.000774013
11,133.248,0.29628,0.38174,0.83743,0.99446,0.98591,0.99032,0.97741,0.22168,0.29113,0.78782,0.000759015,0.000759015,0.000759015
12,144.535,0.28155,0.35333,0.83283,0.99757,0.98829,0.99178,0.98321,0.1893,0.28043,0.78207,0.000744016,0.000744016,0.000744016
13,156.69,0.26895,0.33559,0.82445,0.99702,0.98897,0.99071,0.98132,0.18689,0.26986,0.78337,0.000729018,0.000729018,0.000729018
14,167.831,0.26907,0.33224,0.83722,0.99678,0.98792,0.99057,0.97917,0.21695,0.2715,0.78735,0.000714019,0.000714019,0.000714019
15,179.1,0.26842,0.31265,0.83047,0.99643,0.98631,0.98984,0.98135,0.18023,0.25798,0.77977,0.000699021,0.000699021,0.000699021
16,190.049,0.25702,0.30313,0.82814,0.99411,0.99178,0.99436,0.98196,0.18991,0.2561,0.78362,0.000684022,0.000684022,0.000684022
17,201.245,0.25915,0.29728,0.82558,0.99534,0.98427,0.989,0.98221,0.16535,0.25464,0.77583,0.000669024,0.000669024,0.000669024
18,213.085,0.24858,0.28715,0.82767,0.99546,0.98845,0.99035,0.98356,0.17894,0.24617,0.78163,0.000654025,0.000654025,0.000654025
19,223.953,0.24593,0.28483,0.82254,0.99467,0.9901,0.99105,0.98404,0.17914,0.23996,0.78076,0.000639027,0.000639027,0.000639027
20,235.238,0.24159,0.27601,0.82553,0.98948,0.98369,0.99137,0.98317,0.17052,0.24322,0.77878,0.000624028,0.000624028,0.000624028
21,246.374,0.2456,0.27248,0.82145,0.99357,0.99184,0.99348,0.983,0.18829,0.22545,0.78156,0.00060903,0.00060903,0.00060903
22,257.177,0.2372,0.26366,0.82502,0.99341,0.988,0.9918,0.98299,0.18435,0.2273,0.781,0.000594031,0.000594031,0.000594031
23,268.11,0.25298,0.26966,0.83226,0.9921,0.98956,0.99046,0.98298,0.17102,0.22958,0.77922,0.000579033,0.000579033,0.000579033
24,279.407,0.2279,0.25075,0.816,0.99369,0.99163,0.99332,0.98642,0.15058,0.20417,0.77402,0.000564034,0.000564034,0.000564034
25,290.311,0.22885,0.24637,0.82145,0.99347,0.98872,0.99268,0.98272,0.16558,0.20866,0.77957,0.000549036,0.000549036,0.000549036
26,301.259,0.22674,0.24641,0.81829,0.99673,0.98981,0.99323,0.98538,0.16291,0.20351,0.78036,0.000534037,0.000534037,0.000534037
27,312.338,0.22325,0.24411,0.82086,0.99299,0.99056,0.99332,0.98684,0.1395,0.19882,0.77022,0.000519039,0.000519039,0.000519039
28,323.355,0.22398,0.24437,0.81939,0.9939,0.98908,0.99331,0.9848,0.17707,0.20779,0.77999,0.00050404,0.00050404,0.00050404
29,334.465,0.2127,0.22799,0.8122,0.99391,0.98705,0.99335,0.98594,0.1434,0.20154,0.77032,0.000489042,0.000489042,0.000489042
30,345.224,0.21474,0.23116,0.8185,0.99366,0.99096,0.9919,0.98612,0.14498,0.20136,0.7725,0.000474043,0.000474043,0.000474043
31,356.584,0.21312,0.2317,0.8186,0.99229,0.99188,0.99334,0.98629,0.15167,0.19163,0.77225,0.000459045,0.000459045,0.000459045
32,367.494,0.21323,0.23082,0.81808,0.99374,0.98982,0.99335,0.98454,0.14314,0.1882,0.77143,0.000444046,0.000444046,0.000444046
33,378.576,0.21527,0.22659,0.81479,0.99467,0.98918,0.99331,0.98423,0.16602,0.20029,0.77786,0.000429048,0.000429048,0.000429048
34,390.123,0.20826,0.22046,0.8147,0.9941,0.9899,0.9933,0.98533,0.13481,0.18315,0.76887,0.000414049,0.000414049,0.000414049
