wall_ms,stamp_sec,event,lidar_hz,imu_hz,odom_hz,lidar_points,lidar_scan_ms,imu_dt_sec,imu_max_gap_sec,imu_acc_norm,imu_gyro_norm_dps,odom_x,odom_y,odom_z,odom_yaw_deg,odom_dt_sec,odom_step_xy,odom_speed_mps,odom_yaw_rate_dps,relative_x,relative_y,relative_yaw_deg,relative_dist,localization_valid,cause
946686404335,946686401.981914997,odom,,,,,,,,,,0.007423,0.013058,0.004936,0.031068,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0,lidar missing
946686404401,946686403.481869698,odom,,,,,,,,,,0.005509,0.008526,0.004222,0.024026,1.499955,0.004920,0.003280,0.004694,-0.000000,0.000000,0.000000,0.000000,0,lidar missing
946686404463,946686403.581927419,odom,,,,,,,,,,0.006214,0.012137,0.004148,0.024557,0.100058,0.003680,0.036776,0.005307,0.001916,-0.004531,-0.007041,0.004920,0,relative pose invalid or blocked
946686404515,946686403.681976795,odom,,,,,,,,,,0.006091,0.013366,0.005170,0.018638,0.100049,0.001235,0.012346,0.059162,0.001210,-0.000920,-0.006510,0.001520,0,relative pose invalid or blocked
946686404565,946686403.782033920,odom,,,,,,,,,,0.004554,0.012074,0.005639,0.027768,0.100057,0.002007,0.020062,0.091245,0.001332,0.000309,-0.012430,0.001368,0,relative pose invalid or blocked
946686404677,946686403.881998539,odom,,,,,,,,,,0.006974,0.010024,0.006400,0.002633,0.099965,0.003171,0.031725,0.251442,0.002869,-0.000982,-0.003300,0.003033,0,relative pose invalid or blocked
946686404774,946686403.981981516,odom,,,,,,,,,,0.006757,0.010301,0.003663,0.022715,0.099983,0.000352,0.003521,0.200858,0.000451,-0.003034,-0.028435,0.003067,0,relative pose invalid or blocked
946686404821,946686404.080990791,odom,,,,,,,,,,0.008415,0.009756,0.003161,0.015160,0.099009,0.001746,0.017632,0.076309,0.000668,-0.002757,-0.008353,0.002837,0,relative pose invalid or blocked
946686404877,946686404.186870813,odom,,,,,,,,,,0.010218,0.011597,0.005393,0.004293,0.105880,0.002577,0.024340,0.102627,-0.000990,-0.003303,-0.015908,0.003448,0,relative pose invalid or blocked
946686404899,946686404.281921506,odom,,,,,,,,,,0.017715,0.015239,0.006288,0.220950,0.095051,0.008335,0.087689,2.279379,-0.002794,-0.001462,-0.026774,0.003154,0,relative pose invalid or blocked
