wall_ms,raw_message
946686404356,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404406,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404406,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686404464,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404515,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404515,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686404556,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404640,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404640,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686404656,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404722,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404723,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
946686404756,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404821,"type=xy,x_or_task=0,y_or_landing=0,yaw=0,hex=AA FF 01 06 00 00 00 00 00 00 B0,reason=定位状态无效，发送 0cm 心跳帧"
946686404822,"type=mission,x_or_task=1,y_or_landing=1,yaw=0,hex=AA FF 02 02 01 01 AF,reason=normal"
