wall_ms,stamp_sec,seq,point_num,frame_dt_sec,scan_ms,valid_points,zero_points,mean_x,mean_y,mean_z,min_range,min_x,min_y,min_z,front_min_range,front_min_x,front_min_y,front_min_z
946686404455,946686404.284806132,1,32832,0.000000000,98.092,23019,9813,-0.385455,-1.092744,1.080281,0.106301,0.000000,-0.104000,0.022000,0.133398,0.003000,-0.131000,0.025000
946686404510,946686404.382641077,2,19872,0.097834945,99.294,14033,5839,-0.346828,-0.950429,1.221521,0.120221,-0.007000,-0.120000,0.002000,0.133649,0.017000,-0.127000,0.038000
946686404611,946686404.481640935,3,20064,0.098999858,100.429,14166,5898,-0.328750,-0.949038,1.240069,0.107861,-0.008000,-0.103000,0.031000,0.220962,0.042000,-0.178000,0.124000
946686404717,946686404.581805944,4,19968,0.100165009,100.076,14187,5781,-0.341582,-0.955085,1.235782,0.107084,0.001000,-0.105000,0.021000,0.107084,0.001000,-0.105000,0.021000
946686404816,946686404.681632280,5,20064,0.099826336,100.413,14296,5768,-0.335588,-0.974810,1.232569,0.103213,0.032000,-0.098000,0.005000,0.103213,0.032000,-0.098000,0.005000
946686404911,946686404.783160925,6,19968,0.101528645,98.890,14122,5846,-0.296613,-0.972615,1.234826,0.101292,-0.082000,-0.040000,0.044000,0.130403,0.002000,-0.120000,0.051000
946686405011,946686404.881821990,7,19968,0.098661065,100.122,14086,5882,-0.292367,-0.940423,1.234840,0.104828,-0.102000,-0.024000,0.003000,0.150549,0.050000,-0.142000,0.001000
946686405111,946686404.981691122,8,19968,0.099869132,100.232,14186,5782,-0.339303,-0.940780,1.219724,0.099040,0.000000,-0.097000,0.020000,0.115490,0.052000,-0.103000,-0.005000
946686405212,946686405.081675410,9,20064,0.099984288,100.306,14130,5934,-0.337014,-0.916791,1.223688,0.101336,-0.013000,-0.100000,0.010000,0.104709,0.050000,-0.092000,0.000000
946686405311,946686405.181727290,10,19680,0.100051880,100.467,14000,5680,-0.331404,-0.952249,1.228563,0.099403,-0.073000,-0.066000,0.014000,0.200883,0.049000,-0.192000,0.033000
946686405411,946686405.282613754,11,20352,0.100886464,99.421,14443,5909,-0.363726,-0.898301,1.238451,0.118296,-0.083000,-0.084000,0.007000,0.169597,0.021000,-0.161000,0.049000
946686405511,946686405.382548094,12,19968,0.099934340,99.533,14182,5786,-0.354366,-0.966498,1.234245,0.119520,-0.108000,-0.050000,0.011000,0.141506,0.036000,-0.122000,0.062000
946686405616,946686405.481804252,13,19968,0.099256158,100.125,14230,5738,-0.322904,-0.953855,1.233886,0.101435,-0.038000,-0.094000,0.003000,0.120325,0.011000,-0.119000,0.014000
946686405709,946686405.581683397,14,19968,0.099879146,100.183,14260,5708,-0.320086,-0.957798,1.237244,0.105594,-0.085000,-0.062000,0.009000,0.133308,0.019000,-0.119000,0.057000
946686405809,946686405.681620836,15,20064,0.099937439,100.417,14316,5748,-0.306025,-0.968498,1.237550,0.102811,-0.045000,-0.092000,0.009000,0.264282,0.006000,-0.260000,0.047000
946686405915,946686405.781784177,16,20064,0.100163341,100.271,14202,5862,-0.312729,-0.939606,1.239467,0.103759,0.017000,-0.099000,0.026000,0.103759,0.017000,-0.099000,0.026000
946686406009,946686405.882574081,17,19968,0.100789905,99.381,14095,5873,-0.307463,-0.936250,1.238435,0.111969,-0.020000,-0.109000,0.016000,0.138982,0.004000,-0.128000,0.054000
946686406109,946686405.982471585,18,19968,0.099897504,99.506,14199,5769,-0.338362,-0.934507,1.225881,0.123410,-0.106000,-0.063000,0.005000,0.159267,0.021000,-0.142000,0.069000
946686406210,946686406.081735611,19,20064,0.099264026,100.322,14274,5790,-0.379869,-0.913785,1.238892,0.104178,-0.084000,-0.041000,0.046000,0.171491,0.008000,-0.169000,0.028000
946686406309,946686406.182618141,20,19872,0.100882530,99.281,14064,5808,-0.299018,-0.938519,1.234457,0.098970,-0.089000,-0.043000,0.005000,0.112312,0.037000,-0.106000,0.003000
946686406415,946686406.281648874,21,20064,0.099030733,100.276,14261,5803,-0.349062,-0.941016,1.236649,0.106701,-0.010000,-0.106000,0.007000,0.133604,0.025000,-0.128000,0.029000
946686406516,946686406.381679773,22,19968,0.100030899,100.280,14284,5684,-0.344610,-0.967137,1.231827,0.114687,-0.108000,-0.033000,0.020000,0.132608,0.010000,-0.131000,0.018000
946686406614,946686406.481720209,23,19968,0.100040436,100.164,14194,5774,-0.325344,-0.965782,1.252389,0.100603,0.030000,-0.095000,0.014000,0.100603,0.030000,-0.095000,0.014000
946686406716,946686406.581651926,24,20064,0.099931717,100.385,14242,5822,-0.270235,-0.951657,1.236055,0.100305,-0.096000,-0.029000,0.002000,0.103484,0.012000,-0.098000,0.031000
946686406817,946686406.681784630,25,19968,0.100132704,100.277,14161,5807,-0.300864,-0.952938,1.237573,0.114237,-0.040000,-0.107000,0.001000,0.159618,0.013000,-0.150000,0.053000
946686406909,946686406.781759024,26,20064,0.099974394,100.265,14175,5889,-0.308118,-0.923563,1.246632,0.099343,0.020000,-0.090000,0.037000,0.099343,0.020000,-0.090000,0.037000
946686407011,946686406.881781936,27,19968,0.100022912,100.138,14120,5848,-0.320606,-0.906437,1.243017,0.105114,0.013000,-0.088000,0.056000,0.105114,0.013000,-0.088000,0.056000
946686407115,946686406.981682777,28,19968,0.099900842,100.288,14191,5777,-0.340113,-0.936250,1.240065,0.100891,0.003000,-0.087000,0.051000,0.100891,0.003000,-0.087000,0.051000
946686407210,946686407.081725240,29,20064,0.100042462,100.340,14226,5838,-0.352494,-0.891297,1.244953,0.103121,0.048000,-0.091000,0.007000,0.103121,0.048000,-0.091000,0.007000
946686407313,946686407.181811929,30,19968,0.100086689,100.235,14199,5769,-0.338671,-0.917754,1.258154,0.099479,-0.088000,-0.046000,0.006000,0.196209,0.031000,-0.176000,0.081000
946686407418,946686407.281785250,31,20064,0.099973321,101.135,14326,5738,-0.376608,-0.998478,1.247524,0.103653,0.004000,-0.102000,0.018000,0.103653,0.004000,-0.102000,0.018000
946686407510,946686407.382673621,32,19872,0.100888371,99.228,14102,5770,-0.310295,-0.902376,1.249950,0.103368,0.022000,-0.099000,0.020000,0.103368,0.022000,-0.099000,0.020000
946686407611,946686407.481652856,33,20064,0.098979235,100.335,14184,5880,-0.297283,-0.968521,1.248841,0.114529,-0.099000,-0.054000,0.020000,0.121037,0.040000,-0.111000,0.027000
